underlying,expiry_date,instrument_family,contract_count
JSWSTEEL,2026-08-25,FUTURE,1
JSWSTEEL,2026-08-25,OPTION,108
JUBLFOOD,2026-08-25,FUTURE,1
JUBLFOOD,2026-08-25,OPTION,142
KALYANKJIL,2026-08-25,FUTURE,1
KALYANKJIL,2026-08-25,OPTION,202
KAYNES,2026-08-25,FUTURE,1
KAYNES,2026-08-25,OPTION,110
KEI,2026-08-25,FUTURE,1
KEI,2026-08-25,OPTION,92
KFINTECH,2026-08-25,FUTURE,1
KFINTECH,2026-08-25,OPTION,70
KOTAKBANK,2026-08-25,FUTURE,1
KOTAKBANK,2026-08-25,OPTION,134
KPITTECH,2026-08-25,FUTURE,1
KPITTECH,2026-08-25,OPTION,130
LAURUSLABS,2026-08-25,FUTURE,1
LAURUSLABS,2026-08-25,OPTION,114
LICHSGFIN,2026-08-25,FUTURE,1
LICHSGFIN,2026-08-25,OPTION,92
LICI,2026-08-25,FUTURE,1
LICI,2026-08-25,OPTION,128
LODHA,2026-08-25,FUTURE,1
LODHA,2026-08-25,OPTION,92
LT,2026-08-25,FUTURE,1
LT,2026-08-25,OPTION,138
LTF,2026-08-25,FUTURE,1
LTF,2026-08-25,OPTION,98
LTM,2026-08-25,FUTURE,1
LTM,2026-08-25,OPTION,146
LUPIN,2026-08-25,FUTURE,1
LUPIN,2026-08-25,OPTION,188
M&M,2026-08-25,FUTURE,1
M&M,2026-08-25,OPTION,107
MANAPPURAM,2026-08-25,FUTURE,1
MANAPPURAM,2026-08-25,OPTION,112
MANKIND,2026-08-25,FUTURE,1
MANKIND,2026-08-25,OPTION,190
MARICO,2026-08-25,FUTURE,1
MARICO,2026-08-25,OPTION,126
MARUTI,2026-08-25,FUTURE,1
MARUTI,2026-08-25,OPTION,218
MAXHEALTH,2026-08-25,FUTURE,1
MAXHEALTH,2026-08-25,OPTION,174
MAZDOCK,2026-08-25,FUTURE,1
MAZDOCK,2026-08-25,OPTION,88
MCX,2026-08-25,FUTURE,1
MCX,2026-08-25,OPTION,102
MFSL,2026-08-25,FUTURE,1
MFSL,2026-08-25,OPTION,130
MIDCPNIFTY,2026-08-25,FUTURE,1
MIDCPNIFTY,2026-08-25,OPTION,530
MOTHERSON,2026-08-25,FUTURE,1
MOTHERSON,2026-08-25,OPTION,95
MOTILALOFS,2026-08-25,FUTURE,1
MOTILALOFS,2026-08-25,OPTION,88
MPHASIS,2026-08-25,FUTURE,1
MPHASIS,2026-08-25,OPTION,110
MUTHOOTFIN,2026-08-25,FUTURE,1
MUTHOOTFIN,2026-08-25,OPTION,108
NAM-INDIA,2026-08-25,FUTURE,1
NAM-INDIA,2026-08-25,OPTION,92
NATIONALUM,2026-08-25,FUTURE,1
NATIONALUM,2026-08-25,OPTION,68
NAUKRI,2026-08-25,FUTURE,1
NAUKRI,2026-08-25,OPTION,102
NBCC,2026-08-25,FUTURE,1
NBCC,2026-08-25,OPTION,70
NESTLEIND,2026-08-25,FUTURE,1
NESTLEIND,2026-08-25,OPTION,206
NHPC,2026-08-25,FUTURE,1
NHPC,2026-08-25,OPTION,128
NIFTY,2026-08-25,FUTURE,1
NIFTY,2026-08-25,OPTION,476
NIFTYNXT50,2026-08-25,FUTURE,1
NIFTYNXT50,2026-08-25,OPTION,720
NMDC,2026-08-25,FUTURE,1
NMDC,2026-08-25,OPTION,146
NTPC,2026-08-25,FUTURE,1
NTPC,2026-08-25,OPTION,112
NYKAA,2026-08-25,FUTURE,1
NYKAA,2026-08-25,OPTION,94
OBEROIRLTY,2026-08-25,FUTURE,1
OBEROIRLTY,2026-08-25,OPTION,138
OFSS,2026-08-25,FUTURE,1
OFSS,2026-08-25,OPTION,158
OIL,2026-08-25,FUTURE,1
OIL,2026-08-25,OPTION,130
ONGC,2026-08-25,FUTURE,1
ONGC,2026-08-25,OPTION,158
PAGEIND,2026-08-25,FUTURE,1
PAGEIND,2026-08-25,OPTION,142
PATANJALI,2026-08-25,FUTURE,1
PATANJALI,2026-08-25,OPTION,156
PAYTM,2026-08-25,FUTURE,1
PAYTM,2026-08-25,OPTION,106
PERSISTENT,2026-08-25,FUTURE,1
PERSISTENT,2026-08-25,OPTION,98
PETRONET,2026-08-25,FUTURE,1
PETRONET,2026-08-25,OPTION,90
PFC,2026-08-25,FUTURE,1
PFC,2026-08-25,OPTION,140
PGEL,2026-08-25,FUTURE,1
PGEL,2026-08-25,OPTION,90
PHOENIXLTD,2026-08-25,FUTURE,1
PHOENIXLTD,2026-08-25,OPTION,156
PIDILITIND,2026-08-25,FUTURE,1
PIDILITIND,2026-08-25,OPTION,130
PIIND,2026-08-25,FUTURE,1
PIIND,2026-08-25,OPTION,95
PNB,2026-08-25,FUTURE,1
PNB,2026-08-25,OPTION,180
PNBHOUSING,2026-08-25,FUTURE,1
PNBHOUSING,2026-08-25,OPTION,88
POLICYBZR,2026-08-25,FUTURE,1
POLICYBZR,2026-08-25,OPTION,134
POLYCAB,2026-08-25,FUTURE,1
POLYCAB,2026-08-25,OPTION,162
POWERGRID,2026-08-25,FUTURE,1
POWERGRID,2026-08-25,OPTION,184
POWERINDIA,2026-08-25,FUTURE,1
POWERINDIA,2026-08-25,OPTION,118
PREMIERENE,2026-08-25,FUTURE,1
PREMIERENE,2026-08-25,OPTION,90
PRESTIGE,2026-08-25,FUTURE,1
PRESTIGE,2026-08-25,OPTION,126
RADICO,2026-08-25,FUTURE,1
RADICO,2026-08-25,OPTION,114
RBLBANK,2026-08-25,FUTURE,1
RBLBANK,2026-08-25,OPTION,132
RECLTD,2026-08-25,FUTURE,1
RECLTD,2026-08-25,OPTION,114
RELIANCE,2026-08-25,FUTURE,1
RELIANCE,2026-08-25,OPTION,202
RVNL,2026-08-25,FUTURE,1
RVNL,2026-08-25,OPTION,88
SAIL,2026-08-25,FUTURE,1
SAIL,2026-08-25,OPTION,112
SBICARD,2026-08-25,FUTURE,1
SBICARD,2026-08-25,OPTION,110
SBILIFE,2026-08-25,FUTURE,1
SBILIFE,2026-08-25,OPTION,148
SBIN,2026-08-25,FUTURE,1
SBIN,2026-08-25,OPTION,166
SHREECEM,2026-08-25,FUTURE,1
SHREECEM,2026-08-25,OPTION,154
SHRIRAMFIN,2026-08-25,FUTURE,1
SHRIRAMFIN,2026-08-25,OPTION,86
SIEMENS,2026-08-25,FUTURE,1
SIEMENS,2026-08-25,OPTION,112
SOLARINDS,2026-08-25,FUTURE,1
SOLARINDS,2026-08-25,OPTION,114
SONACOMS,2026-08-25,FUTURE,1
SONACOMS,2026-08-25,OPTION,110
SRF,2026-08-25,FUTURE,1
SRF,2026-08-25,OPTION,88
SUNPHARMA,2026-08-25,FUTURE,1
SUNPHARMA,2026-08-25,OPTION,150
SUPREMEIND,2026-08-25,FUTURE,1
SUPREMEIND,2026-08-25,OPTION,116
SUZLON,2026-08-25,FUTURE,1
SUZLON,2026-08-25,OPTION,98
SWIGGY,2026-08-25,FUTURE,1
SWIGGY,2026-08-25,OPTION,94
TATACONSUM,2026-08-25,FUTURE,1
TATACONSUM,2026-08-25,OPTION,172
TATAELXSI,2026-08-25,FUTURE,1
TATAELXSI,2026-08-25,OPTION,134
TATAPOWER,2026-08-25,FUTURE,1
TATAPOWER,2026-08-25,OPTION,126
TATASTEEL,2026-08-25,FUTURE,1
TATASTEEL,2026-08-25,OPTION,126
TCS,2026-08-25,FUTURE,1
TCS,2026-08-25,OPTION,186
TECHM,2026-08-25,FUTURE,1
TECHM,2026-08-25,OPTION,161
TIINDIA,2026-08-25,FUTURE,1
TIINDIA,2026-08-25,OPTION,114
TITAN,2026-08-25,FUTURE,1
TITAN,2026-08-25,OPTION,138
TMPV,2026-08-25,FUTURE,1
TMPV,2026-08-25,OPTION,130
TORNTPHARM,2026-08-25,FUTURE,1
TORNTPHARM,2026-08-25,OPTION,156
TRENT,2026-08-25,FUTURE,1
TRENT,2026-08-25,OPTION,107
TVSMOTOR,2026-08-25,FUTURE,1
TVSMOTOR,2026-08-25,OPTION,115
ULTRACEMCO,2026-08-25,FUTURE,1
ULTRACEMCO,2026-08-25,OPTION,190
UNIONBANK,2026-08-25,FUTURE,1
UNIONBANK,2026-08-25,OPTION,118
UNITDSPR,2026-08-25,FUTURE,1
UNITDSPR,2026-08-25,OPTION,106
UNOMINDA,2026-08-25,FUTURE,1
UNOMINDA,2026-08-25,OPTION,94
UPL,2026-08-25,FUTURE,1
UPL,2026-08-25,OPTION,108
VBL,2026-08-25,FUTURE,1
VBL,2026-08-25,OPTION,94
VEDL,2026-08-25,FUTURE,1
VEDL,2026-08-25,OPTION,108
VMM,2026-08-25,FUTURE,1
VMM,2026-08-25,OPTION,86
VOLTAS,2026-08-25,FUTURE,1
VOLTAS,2026-08-25,OPTION,116
WAAREEENER,2026-08-25,FUTURE,1
WAAREEENER,2026-08-25,OPTION,102
WIPRO,2026-08-25,FUTURE,1
WIPRO,2026-08-25,OPTION,112
YESBANK,2026-08-25,FUTURE,1
YESBANK,2026-08-25,OPTION,46
ZYDUSLIFE,2026-08-25,FUTURE,1
ZYDUSLIFE,2026-08-25,OPTION,178
360ONE,2026-09-29,FUTURE,1
360ONE,2026-09-29,OPTION,48
ABB,2026-09-29,FUTURE,1
ABB,2026-09-29,OPTION,62
ABCAPITAL,2026-09-29,FUTURE,1
ABCAPITAL,2026-09-29,OPTION,68
ADANIENSOL,2026-09-29,FUTURE,1
ADANIENSOL,2026-09-29,OPTION,70
ADANIENT,2026-09-29,FUTURE,1
ADANIENT,2026-09-29,OPTION,50
ADANIGREEN,2026-09-29,FUTURE,1
ADANIGREEN,2026-09-29,OPTION,68
ADANIPORTS,2026-09-29,FUTURE,1
ADANIPORTS,2026-09-29,OPTION,74
ADANIPOWER,2026-09-29,FUTURE,1
ADANIPOWER,2026-09-29,OPTION,46
ALKEM,2026-09-29,FUTURE,1
ALKEM,2026-09-29,OPTION,82
AMBER,2026-09-29,FUTURE,1
AMBER,2026-09-29,OPTION,68
AMBUJACEM,2026-09-29,FUTURE,1
AMBUJACEM,2026-09-29,OPTION,66
ANGELONE,2026-09-29,FUTURE,1
ANGELONE,2026-09-29,OPTION,68
APLAPOLLO,2026-09-29,FUTURE,1
APLAPOLLO,2026-09-29,OPTION,72
APOLLOHOSP,2026-09-29,FUTURE,1
APOLLOHOSP,2026-09-29,OPTION,66
ASHOKLEY,2026-09-29,FUTURE,1
ASHOKLEY,2026-09-29,OPTION,48
ASIANPAINT,2026-09-29,FUTURE,1
ASIANPAINT,2026-09-29,OPTION,104
ASTRAL,2026-09-29,FUTURE,1
ASTRAL,2026-09-29,OPTION,68
AUBANK,2026-09-29,FUTURE,1
AUBANK,2026-09-29,OPTION,46
AUROPHARMA,2026-09-29,FUTURE,1
AUROPHARMA,2026-09-29,OPTION,68
AXISBANK,2026-09-29,FUTURE,1
AXISBANK,2026-09-29,OPTION,62
BAJAJ-AUTO,2026-09-29,FUTURE,1
BAJAJ-AUTO,2026-09-29,OPTION,88
BAJAJFINSV,2026-09-29,FUTURE,1
BAJAJFINSV,2026-09-29,OPTION,70
BAJAJHLDNG,2026-09-29,FUTURE,1
BAJAJHLDNG,2026-09-29,OPTION,88
BAJFINANCE,2026-09-29,FUTURE,1
BAJFINANCE,2026-09-29,OPTION,86
BANDHANBNK,2026-09-29,FUTURE,1
BANDHANBNK,2026-09-29,OPTION,50
BANKBARODA,2026-09-29,FUTURE,1
BANKBARODA,2026-09-29,OPTION,52
BANKINDIA,2026-09-29,FUTURE,1
BANKINDIA,2026-09-29,OPTION,48
BANKNIFTY,2026-09-29,FUTURE,1
BANKNIFTY,2026-09-29,OPTION,710
BDL,2026-09-29,FUTURE,1
BDL,2026-09-29,OPTION,52
BEL,2026-09-29,FUTURE,1
BEL,2026-09-29,OPTION,68
BHARATFORG,2026-09-29,FUTURE,1
BHARATFORG,2026-09-29,OPTION,84
BHARTIARTL,2026-09-29,FUTURE,1
BHARTIARTL,2026-09-29,OPTION,72
BHEL,2026-09-29,FUTURE,1
BHEL,2026-09-29,OPTION,70
BIOCON,2026-09-29,FUTURE,1
BIOCON,2026-09-29,OPTION,70
BLUESTARCO,2026-09-29,FUTURE,1
BLUESTARCO,2026-09-29,OPTION,72
BOSCHLTD,2026-09-29,FUTURE,1
BOSCHLTD,2026-09-29,OPTION,66
BPCL,2026-09-29,FUTURE,1
BPCL,2026-09-29,OPTION,48
BRITANNIA,2026-09-29,FUTURE,1
BRITANNIA,2026-09-29,OPTION,84
BSE,2026-09-29,FUTURE,1
BSE,2026-09-29,OPTION,50
CAMS,2026-09-29,FUTURE,1
CAMS,2026-09-29,OPTION,68
CANBK,2026-09-29,FUTURE,1
CANBK,2026-09-29,OPTION,50
CDSL,2026-09-29,FUTURE,1
CDSL,2026-09-29,OPTION,52
CGPOWER,2026-09-29,FUTURE,1
CGPOWER,2026-09-29,OPTION,50
CHOLAFIN,2026-09-29,FUTURE,1
CHOLAFIN,2026-09-29,OPTION,66
CIPLA,2026-09-29,FUTURE,1
CIPLA,2026-09-29,OPTION,104
COALINDIA,2026-09-29,FUTURE,1
COALINDIA,2026-09-29,OPTION,66
COCHINSHIP,2026-09-29,FUTURE,1
COCHINSHIP,2026-09-29,OPTION,70
COFORGE,2026-09-29,FUTURE,1
COFORGE,2026-09-29,OPTION,72
COLPAL,2026-09-29,FUTURE,1
COLPAL,2026-09-29,OPTION,86
CONCOR,2026-09-29,FUTURE,1
CONCOR,2026-09-29,OPTION,76
CROMPTON,2026-09-29,FUTURE,1
CROMPTON,2026-09-29,OPTION,48
CUMMINSIND,2026-09-29,FUTURE,1
CUMMINSIND,2026-09-29,OPTION,46
DABUR,2026-09-29,FUTURE,1
DABUR,2026-09-29,OPTION,68
DELHIVERY,2026-09-29,FUTURE,1
DELHIVERY,2026-09-29,OPTION,74
DIVISLAB,2026-09-29,FUTURE,1
DIVISLAB,2026-09-29,OPTION,52
DIXON,2026-09-29,FUTURE,1
DIXON,2026-09-29,OPTION,52
DLF,2026-09-29,FUTURE,1
DLF,2026-09-29,OPTION,50
DMART,2026-09-29,FUTURE,1
DMART,2026-09-29,OPTION,72
DRREDDY,2026-09-29,FUTURE,1
DRREDDY,2026-09-29,OPTION,114
EICHERMOT,2026-09-29,FUTURE,1
EICHERMOT,2026-09-29,OPTION,66
ETERNAL,2026-09-29,FUTURE,1
ETERNAL,2026-09-29,OPTION,48
FEDERALBNK,2026-09-29,FUTURE,1
FEDERALBNK,2026-09-29,OPTION,46
FINNIFTY,2026-09-29,FUTURE,1
FINNIFTY,2026-09-29,OPTION,280
FORCEMOT,2026-09-29,FUTURE,1
FORCEMOT,2026-09-29,OPTION,40
FORTIS,2026-09-29,FUTURE,1
FORTIS,2026-09-29,OPTION,84
GAIL,2026-09-29,FUTURE,1
GAIL,2026-09-29,OPTION,66
GLENMARK,2026-09-29,FUTURE,1
GLENMARK,2026-09-29,OPTION,90
GMRAIRPORT,2026-09-29,FUTURE,1
GMRAIRPORT,2026-09-29,OPTION,84
GODFRYPHLP,2026-09-29,FUTURE,1
GODFRYPHLP,2026-09-29,OPTION,48
GODREJCP,2026-09-29,FUTURE,1
GODREJCP,2026-09-29,OPTION,88
GODREJPROP,2026-09-29,FUTURE,1
GODREJPROP,2026-09-29,OPTION,74
GRASIM,2026-09-29,FUTURE,1
GRASIM,2026-09-29,OPTION,116
GVT&D,2026-09-29,FUTURE,1
GVT&D,2026-09-29,OPTION,50
HAL,2026-09-29,FUTURE,1
HAL,2026-09-29,OPTION,66
HAVELLS,2026-09-29,FUTURE,1
HAVELLS,2026-09-29,OPTION,46
HCLTECH,2026-09-29,FUTURE,1
HCLTECH,2026-09-29,OPTION,106
HDFCAMC,2026-09-29,FUTURE,1
HDFCAMC,2026-09-29,OPTION,48
HDFCBANK,2026-09-29,FUTURE,1
HDFCBANK,2026-09-29,OPTION,66
HDFCLIFE,2026-09-29,FUTURE,1
HDFCLIFE,2026-09-29,OPTION,92
HEROMOTOCO,2026-09-29,FUTURE,1
HEROMOTOCO,2026-09-29,OPTION,46
HINDALCO,2026-09-29,FUTURE,1
HINDALCO,2026-09-29,OPTION,46
HINDPETRO,2026-09-29,FUTURE,1
HINDPETRO,2026-09-29,OPTION,46
HINDUNILVR,2026-09-29,FUTURE,1
HINDUNILVR,2026-09-29,OPTION,86
HINDZINC,2026-09-29,FUTURE,1
HINDZINC,2026-09-29,OPTION,48
HYUNDAI,2026-09-29,FUTURE,1
HYUNDAI,2026-09-29,OPTION,86
ICICIBANK,2026-09-29,FUTURE,1
ICICIBANK,2026-09-29,OPTION,106
ICICIGI,2026-09-29,FUTURE,1
ICICIGI,2026-09-29,OPTION,66
ICICIPRULI,2026-09-29,FUTURE,1
ICICIPRULI,2026-09-29,OPTION,90
IDEA,2026-09-29,FUTURE,1
IDEA,2026-09-29,OPTION,32
IDFCFIRSTB,2026-09-29,FUTURE,1
IDFCFIRSTB,2026-09-29,OPTION,68
IEX,2026-09-29,FUTURE,1
IEX,2026-09-29,OPTION,46
INDHOTEL,2026-09-29,FUTURE,1
INDHOTEL,2026-09-29,OPTION,62
INDIANB,2026-09-29,FUTURE,1
INDIANB,2026-09-29,OPTION,74
INDIGO,2026-09-29,FUTURE,1
INDIGO,2026-09-29,OPTION,48
INDUSINDBK,2026-09-29,FUTURE,1
INDUSINDBK,2026-09-29,OPTION,76
INDUSTOWER,2026-09-29,FUTURE,1
INDUSTOWER,2026-09-29,OPTION,68
INFY,2026-09-29,FUTURE,1
INFY,2026-09-29,OPTION,52
INOXWIND,2026-09-29,FUTURE,1
INOXWIND,2026-09-29,OPTION,42
IOC,2026-09-29,FUTURE,1
IOC,2026-09-29,OPTION,46
IREDA,2026-09-29,FUTURE,1
IREDA,2026-09-29,OPTION,50
IRFC,2026-09-29,FUTURE,1
IRFC,2026-09-29,OPTION,86
ITC,2026-09-29,FUTURE,1
ITC,2026-09-29,OPTION,92
JINDALSTEL,2026-09-29,FUTURE,1
JINDALSTEL,2026-09-29,OPTION,46
JIOFIN,2026-09-29,FUTURE,1
JIOFIN,2026-09-29,OPTION,86
JSWENERGY,2026-09-29,FUTURE,1
JSWENERGY,2026-09-29,OPTION,48
JSWSTEEL,2026-09-29,FUTURE,1
JSWSTEEL,2026-09-29,OPTION,48
JUBLFOOD,2026-09-29,FUTURE,1
JUBLFOOD,2026-09-29,OPTION,70
KALYANKJIL,2026-09-29,FUTURE,1
KALYANKJIL,2026-09-29,OPTION,102
KAYNES,2026-09-29,FUTURE,1
KAYNES,2026-09-29,OPTION,50
KEI,2026-09-29,FUTURE,1
KEI,2026-09-29,OPTION,46
KFINTECH,2026-09-29,FUTURE,1
KFINTECH,2026-09-29,OPTION,48
KOTAKBANK,2026-09-29,FUTURE,1
KOTAKBANK,2026-09-29,OPTION,68
KPITTECH,2026-09-29,FUTURE,1
KPITTECH,2026-09-29,OPTION,66
LAURUSLABS,2026-09-29,FUTURE,1
LAURUSLABS,2026-09-29,OPTION,62
LICHSGFIN,2026-09-29,FUTURE,1
LICHSGFIN,2026-09-29,OPTION,48
LICI,2026-09-29,FUTURE,1
LICI,2026-09-29,OPTION,66
LODHA,2026-09-29,FUTURE,1
LODHA,2026-09-29,OPTION,56
LT,2026-09-29,FUTURE,1
LT,2026-09-29,OPTION,68
LTF,2026-09-29,FUTURE,1
LTF,2026-09-29,OPTION,50
LTM,2026-09-29,FUTURE,1
LTM,2026-09-29,OPTION,76
LUPIN,2026-09-29,FUTURE,1
LUPIN,2026-09-29,OPTION,92
M&M,2026-09-29,FUTURE,1
M&M,2026-09-29,OPTION,48
MANAPPURAM,2026-09-29,FUTURE,1
MANAPPURAM,2026-09-29,OPTION,50
MANKIND,2026-09-29,FUTURE,1
MANKIND,2026-09-29,OPTION,90
MARICO,2026-09-29,FUTURE,1
MARICO,2026-09-29,OPTION,66
MARUTI,2026-09-29,FUTURE,1
MARUTI,2026-09-29,OPTION,110
MAXHEALTH,2026-09-29,FUTURE,1
MAXHEALTH,2026-09-29,OPTION,90
MAZDOCK,2026-09-29,FUTURE,1
MAZDOCK,2026-09-29,OPTION,50
MCX,2026-09-29,FUTURE,1
MCX,2026-09-29,OPTION,54
MFSL,2026-09-29,FUTURE,1
MFSL,2026-09-29,OPTION,68
MIDCPNIFTY,2026-09-29,FUTURE,1
MIDCPNIFTY,2026-09-29,OPTION,486
MOTHERSON,2026-09-29,FUTURE,1
MOTHERSON,2026-09-29,OPTION,50
MOTILALOFS,2026-09-29,FUTURE,1
MOTILALOFS,2026-09-29,OPTION,48
MPHASIS,2026-09-29,FUTURE,1
MPHASIS,2026-09-29,OPTION,72
MUTHOOTFIN,2026-09-29,FUTURE,1
MUTHOOTFIN,2026-09-29,OPTION,48
NAM-INDIA,2026-09-29,FUTURE,1
NAM-INDIA,2026-09-29,OPTION,46
NATIONALUM,2026-09-29,FUTURE,1
NATIONALUM,2026-09-29,OPTION,40
NAUKRI,2026-09-29,FUTURE,1
NAUKRI,2026-09-29,OPTION,56
NBCC,2026-09-29,FUTURE,1
NBCC,2026-09-29,OPTION,48
NESTLEIND,2026-09-29,FUTURE,1
NESTLEIND,2026-09-29,OPTION,104
NHPC,2026-09-29,FUTURE,1
NHPC,2026-09-29,OPTION,64
NIFTY,2026-09-29,FUTURE,1
NIFTY,2026-09-29,OPTION,498
NIFTYNXT50,2026-09-29,FUTURE,1
NIFTYNXT50,2026-09-29,OPTION,662
NMDC,2026-09-29,FUTURE,1
NMDC,2026-09-29,OPTION,64
NTPC,2026-09-29,FUTURE,1
NTPC,2026-09-29,OPTION,66
NYKAA,2026-09-29,FUTURE,1
NYKAA,2026-09-29,OPTION,50
OBEROIRLTY,2026-09-29,FUTURE,1
OBEROIRLTY,2026-09-29,OPTION,70
OFSS,2026-09-29,FUTURE,1
OFSS,2026-09-29,OPTION,90
OIL,2026-09-29,FUTURE,1
OIL,2026-09-29,OPTION,66
ONGC,2026-09-29,FUTURE,1
ONGC,2026-09-29,OPTION,88
PAGEIND,2026-09-29,FUTURE,1
PAGEIND,2026-09-29,OPTION,72
PATANJALI,2026-09-29,FUTURE,1
PATANJALI,2026-09-29,OPTION,78
PAYTM,2026-09-29,FUTURE,1
PAYTM,2026-09-29,OPTION,54
PERSISTENT,2026-09-29,FUTURE,1
PERSISTENT,2026-09-29,OPTION,54
PETRONET,2026-09-29,FUTURE,1
PETRONET,2026-09-29,OPTION,46
PFC,2026-09-29,FUTURE,1
PFC,2026-09-29,OPTION,70
PGEL,2026-09-29,FUTURE,1
PGEL,2026-09-29,OPTION,50
PHOENIXLTD,2026-09-29,FUTURE,1
PHOENIXLTD,2026-09-29,OPTION,78
PIDILITIND,2026-09-29,FUTURE,1
PIDILITIND,2026-09-29,OPTION,68
PIIND,2026-09-29,FUTURE,1
PIIND,2026-09-29,OPTION,46
PNB,2026-09-29,FUTURE,1
PNB,2026-09-29,OPTION,90
PNBHOUSING,2026-09-29,FUTURE,1
PNBHOUSING,2026-09-29,OPTION,50
POLICYBZR,2026-09-29,FUTURE,1
POLICYBZR,2026-09-29,OPTION,68
POLYCAB,2026-09-29,FUTURE,1
POLYCAB,2026-09-29,OPTION,86
POWERGRID,2026-09-29,FUTURE,1
POWERGRID,2026-09-29,OPTION,90
POWERINDIA,2026-09-29,FUTURE,1
POWERINDIA,2026-09-29,OPTION,62
PREMIERENE,2026-09-29,FUTURE,1
PREMIERENE,2026-09-29,OPTION,50
PRESTIGE,2026-09-29,FUTURE,1
PRESTIGE,2026-09-29,OPTION,70
RADICO,2026-09-29,FUTURE,1
RADICO,2026-09-29,OPTION,70
RBLBANK,2026-09-29,FUTURE,1
RBLBANK,2026-09-29,OPTION,66
RECLTD,2026-09-29,FUTURE,1
RECLTD,2026-09-29,OPTION,70
RELIANCE,2026-09-29,FUTURE,1
RELIANCE,2026-09-29,OPTION,102
RVNL,2026-09-29,FUTURE,1
RVNL,2026-09-29,OPTION,50
SAIL,2026-09-29,FUTURE,1
SAIL,2026-09-29,OPTION,66
SBICARD,2026-09-29,FUTURE,1
SBICARD,2026-09-29,OPTION,50
SBILIFE,2026-09-29,FUTURE,1
SBILIFE,2026-09-29,OPTION,68
SBIN,2026-09-29,FUTURE,1
SBIN,2026-09-29,OPTION,84
SHREECEM,2026-09-29,FUTURE,1
SHREECEM,2026-09-29,OPTION,86
SHRIRAMFIN,2026-09-29,FUTURE,1
SHRIRAMFIN,2026-09-29,OPTION,46
SIEMENS,2026-09-29,FUTURE,1
SIEMENS,2026-09-29,OPTION,66
SOLARINDS,2026-09-29,FUTURE,1
SOLARINDS,2026-09-29,OPTION,62
SONACOMS,2026-09-29,FUTURE,1
SONACOMS,2026-09-29,OPTION,52
SRF,2026-09-29,FUTURE,1
SRF,2026-09-29,OPTION,46
SUNPHARMA,2026-09-29,FUTURE,1
SUNPHARMA,2026-09-29,OPTION,72
SUPREMEIND,2026-09-29,FUTURE,1
SUPREMEIND,2026-09-29,OPTION,68
SUZLON,2026-09-29,FUTURE,1
SUZLON,2026-09-29,OPTION,52
SWIGGY,2026-09-29,FUTURE,1
SWIGGY,2026-09-29,OPTION,52
TATACONSUM,2026-09-29,FUTURE,1
TATACONSUM,2026-09-29,OPTION,90
TATAELXSI,2026-09-29,FUTURE,1
TATAELXSI,2026-09-29,OPTION,68
TATAPOWER,2026-09-29,FUTURE,1
TATAPOWER,2026-09-29,OPTION,64
TATASTEEL,2026-09-29,FUTURE,1
TATASTEEL,2026-09-29,OPTION,64
TCS,2026-09-29,FUTURE,1
TCS,2026-09-29,OPTION,92
TECHM,2026-09-29,FUTURE,1
TECHM,2026-09-29,OPTION,94
TIINDIA,2026-09-29,FUTURE,1
TIINDIA,2026-09-29,OPTION,48
TITAN,2026-09-29,FUTURE,1
TITAN,2026-09-29,OPTION,66
TMPV,2026-09-29,FUTURE,1
TMPV,2026-09-29,OPTION,66
TORNTPHARM,2026-09-29,FUTURE,1
TORNTPHARM,2026-09-29,OPTION,78
TRENT,2026-09-29,FUTURE,1
TRENT,2026-09-29,OPTION,54
TVSMOTOR,2026-09-29,FUTURE,1
TVSMOTOR,2026-09-29,OPTION,62
ULTRACEMCO,2026-09-29,FUTURE,1
ULTRACEMCO,2026-09-29,OPTION,94
UNIONBANK,2026-09-29,FUTURE,1
UNIONBANK,2026-09-29,OPTION,80
UNITDSPR,2026-09-29,FUTURE,1
UNITDSPR,2026-09-29,OPTION,50
UNOMINDA,2026-09-29,FUTURE,1
UNOMINDA,2026-09-29,OPTION,48
UPL,2026-09-29,FUTURE,1
UPL,2026-09-29,OPTION,50
VBL,2026-09-29,FUTURE,1
VBL,2026-09-29,OPTION,50
VEDL,2026-09-29,FUTURE,1
VEDL,2026-09-29,OPTION,50
VMM,2026-09-29,FUTURE,1
VMM,2026-09-29,OPTION,48
VOLTAS,2026-09-29,FUTURE,1
VOLTAS,2026-09-29,OPTION,50
WAAREEENER,2026-09-29,FUTURE,1
WAAREEENER,2026-09-29,OPTION,48
WIPRO,2026-09-29,FUTURE,1
WIPRO,2026-09-29,OPTION,66
YESBANK,2026-09-29,FUTURE,1
YESBANK,2026-09-29,OPTION,38
ZYDUSLIFE,2026-09-29,FUTURE,1
ZYDUSLIFE,2026-09-29,OPTION,88
BANKNIFTY,2026-12-29,OPTION,64
NIFTY,2026-12-29,OPTION,84
BANKNIFTY,2027-03-30,OPTION,64
NIFTY,2027-03-30,OPTION,62
BANKNIFTY,2027-06-29,OPTION,64
NIFTY,2027-06-29,OPTION,64
NIFTY,2027-12-28,OPTION,71
NIFTY,2028-06-27,OPTION,63
NIFTY,2028-12-26,OPTION,68
NIFTY,2029-06-26,OPTION,63
NIFTY,2029-12-24,OPTION,65
NIFTY,2030-06-25,OPTION,62
NIFTY,2030-12-31,OPTION,62
NIFTY,2031-06-24,OPTION,62
