trade_date,segment,source,instrument,underlying,symbol,expiry,strike,option_type,open,high,low,close,last_price,settle_price,volume,turnover,open_interest,change_in_oi,source_row_number,source_provider,source_format,contract_type,aqsd_underlying
2026-05-21,FO,NSE,STF,BAJAJHLDNG,BAJAJHLDNG,2026-07-28,,,10485.0,10505.0,10485.0,10505.0,10505.0,10527.0,2,1574250.0,300,0,3593,NSE,UDIFF F&O BHAVCOPY,FUTURE,BAJAJHLDNG
2026-05-21,FO,NSE,IDF,BANKNIFTY,BANKNIFTY,2026-07-28,,,54637.0,54699.0,53721.0,54066.4,54100.0,54066.4,1068,1734721734.0,82800,6810,3839,NSE,UDIFF F&O BHAVCOPY,FUTURE,BANKNIFTY
2026-05-21,FO,NSE,IDF,BANKNIFTY,BANKNIFTY,2026-05-26,,,54090.0,54199.4,53200.0,53530.8,53590.0,53530.8,33941,54606763038.0,1779480,-235350,4159,NSE,UDIFF F&O BHAVCOPY,FUTURE,BANKNIFTY
2026-05-21,FO,NSE,IDF,BANKNIFTY,BANKNIFTY,2026-06-30,,,54375.0,54387.8,53400.0,53734.0,53800.0,53734.0,15999,25831181976.0,1074600,309180,4480,NSE,UDIFF F&O BHAVCOPY,FUTURE,BANKNIFTY
2026-05-21,FO,NSE,STF,BSE,BSE,2026-05-26,,,4260.1,4288.7,4152.2,4191.8,4191.2,4191.8,8971,14185741837.5,4316250,-1477500,4941,NSE,UDIFF F&O BHAVCOPY,FUTURE,BSE
2026-05-21,FO,NSE,STF,BSE,BSE,2026-06-30,,,4278.0,4299.8,4161.7,4207.2,4210.0,4207.2,7602,12052112700.0,3690375,1436250,4957,NSE,UDIFF F&O BHAVCOPY,FUTURE,BSE
2026-05-21,FO,NSE,STF,BSE,BSE,2026-07-28,,,4309.7,4310.0,4180.2,4215.4,4219.0,4215.4,352,299418740.0,121600,13400,4959,NSE,UDIFF F&O BHAVCOPY,FUTURE,BSE
2026-05-21,FO,NSE,STF,CDSL,CDSL,2026-06-30,,,1228.0,1235.6,1192.2,1196.5,1194.3,1196.5,9817,5633107222.5,6695600,2489000,5039,NSE,UDIFF F&O BHAVCOPY,FUTURE,CDSL
2026-05-21,FO,NSE,STF,CDSL,CDSL,2026-07-28,,,1229.5,1229.5,1196.5,1198.3,1197.5,1198.3,341,195684325.0,812250,106875,5040,NSE,UDIFF F&O BHAVCOPY,FUTURE,CDSL
2026-05-21,FO,NSE,STF,CDSL,CDSL,2026-05-26,,,1222.1,1235.5,1195.3,1199.7,1196.9,1199.7,8901,5115193727.5,7496925,-2245800,5083,NSE,UDIFF F&O BHAVCOPY,FUTURE,CDSL
2026-05-21,FO,NSE,STF,CONCOR,CONCOR,2026-06-30,,,509.4,513.6,501.7,510.6,512.65,510.6,5429,3446955562.5,7453750,5020000,5139,NSE,UDIFF F&O BHAVCOPY,FUTURE,CONCOR
2026-05-21,FO,NSE,STF,CONCOR,CONCOR,2026-07-28,,,514.9,516.0,504.55,514.75,515.0,514.75,43,27385000.0,165000,30000,5200,NSE,UDIFF F&O BHAVCOPY,FUTURE,CONCOR
2026-05-21,FO,NSE,STF,CONCOR,CONCOR,2026-05-26,,,504.2,510.5,498.55,507.8,510.1,507.8,5612,3543884875.0,18335000,-4036250,5213,NSE,UDIFF F&O BHAVCOPY,FUTURE,CONCOR
2026-05-21,FO,NSE,STF,DALBHARAT,DALBHARAT,2026-06-30,,,1747.4,1761.9,1714.8,1757.2,1758.4,1757.2,3527,1993840160.0,1056575,704275,5297,NSE,UDIFF F&O BHAVCOPY,FUTURE,DALBHARAT
